iter	Passed	Remaining
0	0	751
1	1	674
2	1	627
3	2	621
4	3	602
5	3	577
6	4	576
7	4	573
8	5	578
9	5	581
10	6	587
11	7	581
12	7	579
13	8	576
14	8	573
15	9	574
16	9	570
17	10	565
18	10	561
19	11	564
20	12	568
21	12	569
22	13	568
23	13	563
24	14	560
25	14	556
26	15	552
27	15	548
28	16	546
29	16	546
30	17	545
31	18	545
32	18	545
33	19	546
34	19	543
35	20	544
36	20	542
37	21	541
38	21	539
39	22	536
40	22	534
41	23	534
42	23	533
43	24	533
44	25	533
45	25	533
46	26	531
47	26	531
48	27	530
49	27	529
50	28	527
51	28	525
52	29	524
53	30	525
54	30	526
55	31	527
56	31	526
57	32	526
58	32	525
59	33	524
60	33	522
61	34	522
62	35	521
63	35	522
64	36	521
65	36	522
66	37	522
67	38	522
68	38	522
69	39	522
70	39	520
71	40	519
72	40	518
73	41	517
74	41	517
75	42	517
76	43	516
77	43	515
78	44	515
79	44	515
80	45	514
81	45	512
82	46	508
83	46	507
84	47	506
85	47	507
86	48	506
87	48	505
88	49	504
89	49	503
90	50	503
91	50	502
92	51	501
93	51	500
94	52	498
95	52	498
96	53	497
97	54	497
98	54	497
99	55	496
100	55	495
101	56	494
102	56	493
103	57	493
104	57	493
105	58	492
106	59	492
107	59	492
108	60	491
109	60	491
110	61	491
111	61	490
112	62	490
113	63	490
114	63	490
115	64	489
116	64	488
117	65	487
118	65	487
119	66	487
120	67	487
121	67	486
122	68	485
123	68	484
124	69	484
125	69	483
126	70	481
127	70	480
128	71	479
129	72	484
130	73	486
131	73	484
132	74	484
133	74	483
134	75	482
135	75	481
136	76	480
137	76	479
138	77	479
139	77	478
140	78	478
141	78	477
142	79	476
143	80	476
144	80	475
145	81	475
146	81	474
147	82	472
148	82	472
149	83	470
150	83	469
151	84	468
152	84	468
153	85	468
154	85	468
155	86	467
156	86	466
157	87	467
158	88	466
159	88	466
160	89	465
161	89	465
162	90	465
163	91	465
164	91	465
165	92	465
166	93	465
167	93	465
168	94	464
169	95	464
170	95	463
171	96	463
172	96	463
173	97	462
174	97	461
175	98	461
176	99	460
177	99	459
178	100	459
179	100	458
180	101	457
181	101	456
182	102	455
183	102	454
184	103	454
185	103	454
186	104	454
187	105	453
188	105	452
189	105	451
190	106	450
191	106	449
192	107	448
193	107	447
194	108	447
195	108	446
196	109	446
197	109	445
198	110	444
199	111	444
200	111	443
201	111	442
202	112	441
203	112	440
204	113	439
205	113	439
206	114	438
207	114	437
208	115	437
209	116	437
210	116	436
211	117	435
212	117	434
213	118	434
214	118	433
215	119	432
216	119	431
217	120	431
218	120	430
219	121	429
220	121	428
221	122	428
222	122	427
223	123	426
224	123	426
225	124	425
226	124	424
227	125	423
228	125	422
229	126	421
230	126	421
231	127	420
232	127	420
233	128	420
234	128	419
235	129	419
236	129	418
237	130	417
238	130	416
239	131	416
240	131	415
241	132	414
242	132	413
243	133	412
244	133	412
245	134	412
246	134	411
247	135	410
248	135	410
249	136	409
250	136	408
251	137	407
252	137	407
253	138	406
254	138	405
255	139	405
256	140	404
257	140	404
258	141	403
259	141	403
260	142	402
261	142	402
262	143	402
263	143	401
264	144	400
265	144	399
266	145	399
267	145	398
268	146	398
269	147	397
270	147	397
271	148	396
272	148	395
273	148	394
274	149	394
275	149	393
276	150	392
277	150	391
278	151	391
279	152	391
280	152	390
281	153	390
282	153	390
283	154	389
284	154	388
285	155	387
286	155	387
287	156	386
288	156	386
289	157	385
290	157	384
291	158	384
292	159	383
293	159	383
294	160	382
295	160	381
296	160	381
297	161	380
298	161	379
299	162	378
300	162	378
301	163	377
302	163	376
303	164	376
304	164	375
305	165	374
306	165	374
307	166	373
308	166	372
309	167	372
310	167	371
311	168	370
312	168	370
313	169	369
314	169	368
315	170	368
316	170	368
317	171	367
318	171	366
319	172	366
320	172	365
321	173	364
322	173	364
323	174	363
324	174	363
325	175	362
326	175	361
327	176	361
328	176	360
329	177	359
330	177	359
331	178	358
332	178	358
333	179	357
334	179	356
335	180	356
336	180	355
337	181	354
338	181	354
339	182	353
340	182	353
341	183	352
342	183	352
343	184	351
344	184	350
345	185	350
346	185	349
347	186	349
348	186	348
349	187	347
350	187	346
351	188	346
352	188	345
353	189	345
354	189	345
355	190	344
356	190	343
357	191	343
358	192	342
359	192	342
360	192	341
361	193	340
362	193	340
363	194	339
364	195	339
365	195	338
366	195	338
367	196	337
368	197	336
369	197	336
370	198	335
371	198	335
372	199	334
373	199	334
374	200	333
375	200	332
376	201	332
377	201	331
378	202	331
379	202	330
380	203	330
381	203	329
382	204	328
383	204	328
384	205	327
385	205	326
386	206	326
387	206	325
388	207	325
389	207	324
390	208	324
391	208	323
392	209	323
393	209	322
394	210	321
395	210	321
396	210	320
397	211	319
398	211	319
399	212	318
400	212	318
401	213	317
402	214	317
403	214	316
404	215	315
405	215	315
406	215	314
407	216	314
408	216	313
409	217	312
410	217	312
411	218	311
412	218	310
413	219	310
414	219	310
415	220	309
416	220	308
417	221	308
418	221	307
419	222	307
420	222	306
421	223	305
422	223	305
423	224	304
424	224	303
425	225	303
426	225	302
427	226	302
428	227	302
429	227	301
430	228	301
431	228	300
432	229	300
433	229	299
434	230	298
435	230	298
436	231	297
437	231	297
438	232	297
